turns,max_tiles,min_tiles,piece_distributions
121,6,-2,"{0: 415, -2: 61, 2: 184, -4: 21, 4: 124, 8: 105, 16: 79, 32: 52, 64: 48}"
183,7,2,"{0: 575, 2: 287, 4: 223, -2: 120, 8: 144, -4: 31, 16: 106, 32: 54, 64: 65, 128: 42}"
173,6,-4,"{0: 572, 2: 253, -2: 120, -4: 35, 4: 171, 8: 127, 16: 119, 32: 79, 64: 81}"
231,7,2,"{2: 306, 0: 685, 4: 231, 8: 204, -2: 181, 16: 122, 32: 125, -4: 21, 64: 99, 128: 105}"
79,5,-2,"{0: 247, 2: 126, 4: 84, 8: 81, -2: 68, 16: 43, -4: 17, 32: 45}"
122,6,-2,"{0: 403, 2: 192, 4: 122, -2: 71, 8: 117, -4: 9, 16: 65, 32: 67, 64: 52}"
73,5,2,"{0: 259, 2: 106, 4: 88, 8: 58, -2: 49, -4: 9, 16: 69, 32: 19}"
199,7,-4,"{0: 647, -2: 125, 2: 323, -4: 11, 4: 192, 8: 178, 16: 79, 32: 109, 64: 63, 128: 64}"
198,7,-2,"{0: 626, 4: 217, 2: 319, -2: 128, 8: 165, -4: 21, -8: 2, 16: 133, 32: 67, 64: 58, 128: 46}"
97,6,-4,"{0: 281, 2: 143, -2: 61, 4: 137, -4: 18, 8: 87, 16: 53, 32: 48, 64: 45}"
267,7,2,"{0: 807, 2: 362, -2: 201, 4: 344, 8: 203, 16: 162, -4: 22, 32: 116, 64: 112, 128: 74}"
66,5,-2,"{-2: 44, 0: 297, 2: 106, -4: 14, 4: 62, 8: 49, 16: 9, 32: 13}"
121,6,-16,"{0: 396, 2: 170, 4: 118, 8: 70, -2: 88, 16: 42, 32: 65, 64: 73, -4: 20, -8: 40, -16: 7}"
188,7,2,"{0: 436, 2: 290, 4: 241, -2: 116, 8: 161, 16: 151, -4: 41, 32: 75, 64: 77, 128: 104}"
136,6,2,"{0: 397, 2: 206, 4: 163, -2: 85, 8: 121, 16: 91, 32: 68, -4: 11, 64: 82}"
99,6,-4,"{0: 285, 2: 157, 4: 137, -2: 57, 8: 109, -4: 5, 16: 51, 32: 62, 64: 28}"
