turns,max_tiles,min_tiles,piece_distributions
30,4,-2,"{1: 49, 0: 115, 2: 54, -1: 26, -2: 7, 3: 20, 4: 8}"
23,4,1,"{0: 84, 1: 52, 2: 44, -1: 9, 3: 20, 4: 7}"
69,6,-1,"{1: 126, 0: 206, 2: 97, -1: 57, 3: 41, -2: 2, 4: 49, 5: 47, 6: 5}"
32,4,-1,"{1: 63, 0: 102, 2: 56, 3: 26, -1: 20, 4: 30}"
49,4,-2,"{0: 149, -1: 59, 2: 73, 1: 93, -2: 17, 3: 28, -3: 10, 4: 21}"
54,5,-2,"{0: 179, 1: 94, -1: 57, 2: 64, 3: 62, 4: 12, 5: 20, -2: 7}"
50,5,-1,"{1: 106, 0: 119, -1: 40, 2: 100, 3: 44, 4: 41, -2: 1, 5: 8}"
67,5,-1,"{0: 185, -1: 69, 2: 115, 1: 136, -2: 9, 3: 36, 4: 51, 5: 11}"
48,4,-2,"{0: 223, -1: 31, 1: 79, 2: 49, 3: 43, 4: 15, -2: 1}"
18,3,-1,"{0: 60, 1: 47, 2: 37, 3: 18, -1: 8, -2: 1}"
24,3,-2,"{0: 105, 1: 56, -1: 22, 2: 20, 3: 15, -2: 7}"
102,5,-3,"{0: 317, 1: 175, 2: 115, -1: 114, -2: 41, 3: 52, 4: 28, -3: 43, 5: 42}"
64,4,-2,"{1: 112, 0: 198, 2: 63, -1: 67, 3: 38, -2: 54, 4: 53}"
62,5,-2,"{0: 216, 1: 87, -1: 55, -2: 22, 2: 74, 3: 62, 4: 17, 5: 34}"
63,4,-1,"{0: 216, -1: 73, 1: 107, 2: 90, -2: 18, 3: 39, 4: 33}"
49,4,1,"{2: 76, 0: 150, -1: 53, 1: 96, 3: 42, 4: 29, -2: 4}"
84,5,-1,"{0: 216, 1: 155, 2: 105, -1: 99, 3: 80, -2: 23, 4: 65, 5: 22}"
49,5,-2,"{0: 145, 2: 72, -1: 61, 1: 73, -2: 8, 3: 58, 4: 13, 5: 20}"
63,6,-1,"{0: 180, 1: 111, 2: 97, 3: 74, -1: 39, -2: 4, 4: 26, 5: 38, 6: 7}"
48,4,-1,"{0: 154, -1: 49, 1: 83, 2: 70, -2: 9, 3: 55, 4: 21}"
78,5,-1,"{-1: 95, 0: 196, 2: 83, 1: 167, 3: 88, -2: 25, 4: 35, 5: 22}"
35,5,1,"{0: 110, -1: 15, 1: 84, 2: 64, 3: 27, 4: 13, -2: 2, 5: 9}"
43,5,-1,"{0: 147, 1: 73, 2: 67, 3: 25, -1: 42, 4: 28, 5: 14}"
112,6,-1,"{1: 232, 0: 198, -1: 110, 2: 183, -2: 4, 3: 99, 4: 86, 5: 62, 6: 43}"
35,5,-2,"{1: 85, 0: 99, 2: 55, -1: 25, 3: 20, -2: 14, 4: 21, 5: 5}"
65,5,-2,"{1: 134, 0: 148, -1: 52, 2: 118, 3: 81, 4: 26, -2: 10, 5: 25}"
34,4,-3,"{0: 98, -1: 30, 1: 56, 2: 69, 3: 25, -2: 9, 4: 21, -3: 7}"
23,4,-2,"{0: 87, 1: 40, -1: 23, 2: 26, -2: 14, 3: 23, 4: 3}"
59,5,-1,"{1: 122, 0: 173, -1: 37, 2: 86, 3: 63, 4: 39, 5: 20}"
90,5,-1,"{-1: 67, 0: 258, 1: 172, -2: 18, 2: 118, 3: 66, 4: 50, 5: 70}"
111,5,-1,"{0: 321, -1: 120, 1: 198, -2: 26, 2: 116, 3: 84, 4: 87, 5: 56}"
83,5,-1,"{0: 248, 1: 132, -1: 83, 2: 112, 3: 77, -2: 31, 4: 39, 5: 34}"
48,5,1,"{0: 119, 1: 99, 2: 69, 3: 45, 4: 34, -1: 32, -2: 16, 5: 27}"
34,4,-1,"{0: 116, 1: 58, -1: 35, 2: 51, -2: 5, 3: 34, 4: 16}"
86,5,-2,"{1: 162, 0: 318, -1: 71, 2: 94, -2: 24, 3: 40, 4: 37, 5: 37}"
38,5,-1,"{0: 112, 1: 59, -1: 48, 2: 76, 3: 29, 4: 8, 5: 15, -2: 4}"
69,6,-1,"{0: 126, 1: 160, 2: 137, 3: 80, -1: 40, 4: 35, 5: 32, 6: 19, -2: 1}"
124,5,-3,"{1: 169, 0: 397, -1: 153, 2: 138, -2: 45, 3: 99, 4: 66, -3: 17, 5: 41}"
96,6,1,"{0: 204, 1: 186, 2: 102, 3: 94, -1: 100, 4: 86, -2: 31, 5: 43, 6: 27}"
41,4,-1,"{0: 136, 1: 60, 2: 45, -1: 67, 3: 37, -2: 11, 4: 22}"
59,5,-3,"{-1: 43, 0: 179, 1: 109, -2: 30, 2: 72, 3: 52, 4: 37, 5: 10, -3: 8}"
125,6,1,"{-1: 130, 0: 292, 1: 235, 2: 198, 3: 90, 4: 80, -2: 18, 5: 60, 6: 31}"
46,4,-1,"{0: 170, 1: 94, -1: 36, 2: 59, 3: 30, 4: 30, -2: 4}"
75,5,-1,"{0: 185, 1: 144, 2: 133, 3: 77, -1: 68, 4: 22, 5: 46, -2: 8, -3: 1}"
76,5,-2,"{0: 227, -1: 75, 1: 127, -2: 51, 2: 75, 3: 58, 4: 42, 5: 38}"
81,6,-1,"{0: 214, 1: 141, -1: 54, 2: 145, -2: 8, 3: 67, 4: 61, 5: 28, 6: 20}"
68,4,-1,"{0: 217, -1: 57, -2: 14, 1: 111, -3: 19, 2: 79, 3: 96, 4: 28}"
40,4,1,"{0: 165, 1: 82, 2: 58, -1: 17, 3: 28, 4: 19}"
57,5,1,"{0: 144, 1: 117, 2: 101, 3: 36, -1: 44, 4: 49, 5: 29, -2: 2}"
88,6,-1,"{0: 213, -1: 93, 1: 151, 2: 124, 3: 105, 4: 38, -2: 17, 5: 54, 6: 6}"
48,5,1,"{0: 115, 1: 117, -1: 36, 2: 70, 3: 60, 4: 24, 5: 18, -2: 1}"
64,4,-1,"{0: 214, 1: 130, -1: 46, 2: 84, 3: 66, -2: 14, 4: 31}"
24,4,-1,"{1: 52, 0: 74, 2: 35, 3: 25, 4: 17, -1: 21, -2: 1}"
79,5,-1,"{0: 263, -1: 83, 1: 132, 2: 111, 3: 58, -2: 12, 4: 38, 5: 23}"
42,4,-1,"{0: 169, -1: 37, 1: 73, -2: 17, 2: 50, 3: 33, 4: 8}"
39,4,-1,"{0: 160, -1: 26, 1: 73, -2: 25, 2: 35, 3: 30, 4: 11}"
62,4,-1,"{0: 209, 1: 117, 2: 69, -1: 70, 3: 57, 4: 38, -2: 7}"
60,5,1,"{0: 175, 1: 127, -1: 39, -2: 12, 2: 83, 3: 71, 4: 21, 5: 21}"
68,5,1,"{0: 175, 1: 142, 2: 102, -1: 69, -2: 16, 3: 64, 4: 29, 5: 24}"
14,3,-1,"{0: 44, 1: 44, 2: 30, 3: 16, -1: 1}"
35,4,-1,"{0: 132, -1: 26, 1: 62, -2: 4, 2: 48, 3: 38, 4: 14}"
102,6,-1,"{0: 307, 1: 208, -1: 70, -2: 21, 2: 146, 3: 83, 4: 38, 5: 36, 6: 18}"
42,4,-2,"{-1: 43, 0: 126, 1: 69, 2: 62, 3: 44, 4: 36, -2: 7}"
19,3,1,"{0: 57, 2: 35, 1: 58, -1: 6, 3: 24}"
63,5,-2,"{1: 105, 0: 167, 2: 89, -1: 58, 3: 68, -2: 20, 4: 34, 5: 35}"
38,4,1,"{1: 100, 0: 151, 2: 48, -1: 13, -2: 2, 3: 20, 4: 17}"
39,4,1,"{0: 151, 1: 99, -1: 19, 2: 50, -2: 1, 3: 30, 4: 10}"
60,5,-1,"{0: 184, -1: 47, 2: 113, 1: 100, 3: 41, 4: 49, 5: 15}"
114,6,-2,"{0: 281, 1: 210, -1: 112, 2: 154, -2: 32, 3: 91, 4: 89, 5: 45, 6: 21}"
