turns,max_tiles,min_tiles,piece_distributions
51,5,-2,"{4: 3, 32: 1, -2: 1, 8: 2, 16: 1, 2: 1}"
74,6,-4,"{-2: 2, 4: 3, 8: 1, 64: 1, -4: 1, 2: 1}"
47,5,-2,"{-2: 3, 4: 2, 2: 2, 8: 1, 32: 1}"
89,5,-2,"{2: 3, 32: 2, 8: 2, 16: 1, -2: 1}"
57,5,-2,"{-2: 1, 4: 2, 2: 2, 8: 2, 16: 1, 32: 1}"
124,6,-2,"{-2: 1, 4: 3, 2: 2, 32: 1, 64: 1, 8: 1}"
26,4,-4,"{4: 2, 8: 2, -4: 1, 2: 3, 16: 1}"
71,6,-2,"{16: 1, 4: 4, -2: 2, 64: 1, 2: 1}"
92,5,2,"{2: 4, 32: 1, 8: 1, 16: 1, 4: 2}"
40,5,-2,"{2: 3, 4: 1, -2: 1, 8: 3, 32: 1}"
21,3,-4,"{2: 5, 8: 2, 4: 1, -4: 1}"
80,4,-2,"{8: 2, 4: 3, 2: 2, 16: 1, -2: 1}"
41,4,-2,"{2: 2, 16: 2, -2: 1, 4: 2, 8: 2}"
76,5,2,"{8: 3, 32: 1, 2: 3, 4: 1, 16: 1}"
25,4,2,"{2: 3, 4: 3, 8: 2, 16: 1}"
67,4,-4,"{2: 5, 4: 2, 16: 1, -4: 1}"
56,5,-2,"{-2: 2, 8: 2, 2: 2, 4: 1, 16: 1, 32: 1}"
60,5,2,"{4: 3, 8: 1, 2: 3, 32: 1, 16: 1}"
39,4,-4,"{4: 3, 2: 2, -4: 1, 16: 1, -2: 1, 8: 1}"
83,5,-4,"{4: 1, 8: 2, 2: 2, -2: 1, -4: 1, 16: 1, 32: 1}"
44,4,2,"{4: 3, 2: 3, 8: 2, 16: 1}"
79,5,-8,"{-2: 2, -8: 1, 2: 1, 8: 2, 16: 1, 32: 1, 4: 1}"
53,4,2,"{8: 2, 4: 3, 2: 2, 16: 2}"
33,4,-2,"{2: 1, 4: 3, -2: 2, 8: 2, 16: 1}"
55,5,-2,"{2: 3, 4: 3, 16: 1, 32: 1, -2: 1}"
74,6,-8,"{2: 3, 16: 1, 4: 1, -8: 1, 64: 1, -4: 2}"
37,5,-2,"{2: 2, 8: 2, 32: 1, 16: 1, 4: 2, -2: 1}"
24,4,-4,"{-4: 1, 2: 2, 4: 3, 8: 1, 16: 1, -2: 1}"
41,5,-4,"{-2: 2, -4: 1, 2: 3, 32: 1, 4: 2}"
